date,TweetId,Tweet,created_at,geo,place,coordinates,location;;;;;;;;
2020-12-04  12:23,1334820584648179714,Congrats 2 Gaurav Saini on da successful defence of his PhD: “India's Strategic Culture: A Study of Indian Thinking… https://t.co/paz8ctTOmz,2020-12-04 11:23:21,,,,New Delhi;;;;;;;;
2020-12-04  12:23,1334820580927782912,RT @foryoojeong: It’s NoJam culture 😂😂 They just voted each other https://t.co/pc3s42fc9W,2020-12-04 11:23:20,,,,;;;;;;;;
"2020-12-04  12:23,1334820578411360258,@CHARYAANR Jaha me kam karti hu waha employees ki mental health se barh k kuch nhe. Work culture different ha yaha.,2020-12-04 11:23:20,,Karachi,,""Karachi, Pakistan""";;;;;;;;
"2020-12-04  12:23,1334820577232621570,""I never admired the hip hop culture and somehow disliked the so called """"yo yo stars"""".. Logon ko aaj pata chal raha… https://t.co/9HpxqTCHlO"",2020-12-04 11:23:20,,,,""Himachal Pradesh, India""";;;;;;;;
"2020-12-04  12:23,1334820574233759744,""RT @nytimesarts: In this new documentary, Shane MacGowan's  zest for life and undeniable love of Irish culture is conveyed in a stew of mov…"",2020-12-04 11:23:19,,,,United Kingdom";;;;;;;;
"2020-12-04  12:23,1334820571524321280,""RT @HelenaGrimesArt: It costs €0 to share my work , but it would mean the world to me 🦊";;;;;;;;
;;;;;;;;
"My name is Helena Grimes and I am an artist and il…"",2020-12-04 11:23:18,,,,Ireland..Eire";;;;;;;;
2020-12-04  12:23,1334820567606841344,RT @_anetxu: True bi culture,2020-12-04 11:23:17,,,,España;;;;;;;;
2020-12-04  12:23,1334820565924917248,@wouter_decoster @JoseLCadavid @mbeisen @David_desJ @manoliskellis In that case what Manolis says is true: Smart pe… https://t.co/M5w37UEvzf,2020-12-04 11:23:17,,,,;;;;;;;;
"2020-12-04  12:23,1334820560799473664,""The Helix Panto has been part-funded by the Department of Tourism, Culture, Arts, Gaeltacht Sport and Media from th… https://t.co/Re1Sc1kBsn"",2020-12-04 11:23:16,,,,Dublin";;;;;;;;
"2020-12-04  12:23,1334820553035718656,""RT @narendramodi: Today’s #MannKiBaat included an assortment of topics from the world of nature and culture. ";;;;;;;;
;;;;;;;;
"This includes a Murti of Maa…"",2020-12-04 11:23:14,,,,";;;;;;;;
2020-12-04  12:23,1334820549458075650,RT @ellen_cph: Here is a story I've been consumed by over the last few weeks: why Bookshop dot org is not the saviour it has been made out…,2020-12-04 11:23:13,,,,;;;;;;;;
2020-12-04  12:23,1334820545372688384,RT @fakecb97: resonance is actually a good song also given the fact that it fits the neo culture technology thing and it showcases and summ…,2020-12-04 11:23:12,,,,she/her 🇵🇭;;;;;;;;
"2020-12-04  12:23,1334820543858696193,RT @shame_medicine: JOB - PhD studentship in Art History and Visual Culture as part of the @shame_medicine project - to research how medici…,2020-12-04 11:23:12,,,,""Bristol, England""";;;;;;;;
"2020-12-04  12:23,1334820539362369537,""RT @cinnamon_fel: Sick of our """" Do what the man say so he don't beat yuh!"""" culture!"",2020-12-04 11:23:11,,,,";;;;;;;;
"2020-12-04  12:23,1334820536140976129,""RT @svembu: 1/ The Salesforce - Slack acquisition demonstrates ";;;;;;;;
" the """"operating system"""" of the technology industry. ";;;;;;;;
;;;;;;;;
"The assumption is tha…"",2020-12-04 11:23:10,,,,""Bengaluru, India""";;;;;;;;
"2020-12-04  12:23,1334820534052397061,""RT @Independent: Remembering John Candy, the ‘preposterously loveable’ star whose life was cut short https://t.co/5pCJ0pPkcj"",2020-12-04 11:23:09,,,,Athens Gr for even it seems";;;;;;;;
2020-12-04  12:23,1334820529132490752,RT @IndEmbFinEst: Ambassador @raveesh_kumar had a virtual meeting with the Minister of Education and Culture of Finland @okmfi @liandersson…,2020-12-04 11:23:08,,,,Suomi - Finland;;;;;;;;
"2020-12-04  12:23,1334820527505076224,Culture Club - Karma Chameleon (Official Music Video),2020-12-04 11:23:08,,,,""Santa Ana, CA 92707""";;;;;;;;
"2020-12-04  12:23,1334820524921298944,""RT @MesutOzil1088: Nowadays there are still many discussions in public about if Islam is a part of the German, French or European society.…"",2020-12-04 11:23:07,,,,";;;;;;;;
"2020-12-04  12:23,1334820517673627649,""AT THE AFRICAN WOMEN IN CINEMA BLOG ARCHIVES: Mauritanian Women in Cinema, Visual Media and Screen Culture… https://t.co/iJGhHs708k"",2020-12-04 11:23:05,,,,";;;;;;;;
"2020-12-04  12:23,1334820513693138945,""@Mordepie Not weird at all! Something I want to look into. There's a whole bunch of people who do it online, an ent… https://t.co/YSLfKaaz7m"",2020-12-04 11:23:04,,,,hell";;;;;;;;
"2020-12-04  12:23,1334820513550487552,""RT @ALS_NSWACT: “We know that our children thrive when they’re connected to culture, identity and community,” says Karly Warner, CEO of the…"",2020-12-04 11:23:04,,,,Wurundjeri land. ";;;;;;;;
2020-12-04  12:23,1334820511025668096,@odeyemi_yemi 🤣🤣🤣🤣🤣our culture don die o because of hardship God save our nation,2020-12-04 11:23:04,,,,;;;;;;;;
"2020-12-04  12:23,1334820509817704449,""@Parkerismissing what, the, fuck. ive never been close to that culture in teenagers in our squad we just idfk move… https://t.co/eOh7up814b"",2020-12-04 11:23:03,,,,ᵍʷ ⁴⁴";;;;;;;;
"2020-12-04  12:23,1334820508974583810,""RT @HelenaGrimesArt: It costs €0 to share my work , but it would mean the world to me 🦊";;;;;;;;
;;;;;;;;
"My name is Helena Grimes and I am an artist and il…"",2020-12-04 11:23:03,,,,""Waterford, Ireland""";;;;;;;;
2020-12-04  12:23,1334820508668489728,@Riffs_Man Strong Mode&gt;Locked In&gt;Heat Culture&gt;HerdImmunity,2020-12-04 11:23:03,,,,;;;;;
"2020-12-04  12:23,1334820503501017089,""RT @FictionsofHaiti: The Haitian Revolution is not taught in most French lycées, as @laurenzcollins writes for @NewYorker ";;;;;;;;
;;;;;;;;
"*Question for U…"",2020-12-04 11:23:02,,,,";;;;;;;;
"2020-12-04  12:23,1334820498962706432,""RT @narendramodi: Meet Jonas Masetti, who lives in Brazil but is passionate about Vedanta and the Gita. ";;;;;;;;
;;;;;;;;
"His passion towards our culture a…"",2020-12-04 11:23:01,,,,";;;;;;;;
"2020-12-04  12:23,1334820497226391554,""i will always love what """"black on black"""" brought but """"resonance"""" is a great addition, a great growth in the neo cul… https://t.co/Y8NC7n6Fzb"",2020-12-04 11:23:00,,,,neither here nor there";;;;;;;;
"2020-12-04  12:23,1334820493027913736,""RT @HeleneBismarck: The populist method in the UK consists of two key elements: ";;;;;;;;
"1) the emotionalization and over-simplification of highly…"",2020-12-04 11:22:59,,,,";;;;;;;;
"2020-12-04  12:23,1334820492407083015,""there's so many aspect of the music video that i absolutely adored. i think """"resonance"""" is one of the most neo cult… https://t.co/W5391Vd56j"",2020-12-04 11:22:59,,,,neither here nor there";;;;;;;;
"2020-12-04  12:23,1334820491987587072,""Another Sanskaari bhakt. ";;;;;;;;
"Teaching of 5000 year old proud culture 👇👇👇 https://t.co/VSooBMprGi"",2020-12-04 11:22:59,,,,";;;;;;;;
2020-12-04  12:23,1334820491345817600,@bosonsfermions You cant make factless claims on public💀 “u said ppl are attracted to korean culture but NOT wester… https://t.co/fmAnhyh8pH,2020-12-04 11:22:59,,,,India;;;;;;;;
2020-12-04  12:23,1334820486283452416,question for the culture: how am i supposed to finish all my assignments and study for my finals?,2020-12-04 11:22:58,,,,she/her 19;;;;;;;;
"2020-12-04  12:23,1334820481803939840,RT @CommonFutrs: How Covid-19 unleashed (a ‘needs-must’ and innovation culture) in the #NHS - a broad-ranging article which views the end o…,2020-12-04 11:22:57,,,,""ÜT: 51.587166,0.223371""";;;;;;;;
2020-12-04  12:23,1334820474757398528,RT @camille_cotet: #STAYC #YOON Scan Star To A Young Culture https://t.co/c5dRPOwOd3,2020-12-04 11:22:55,,,,Republic of the Philippines;;;;;;;;
"2020-12-04  12:23,1334820474698620930,""RT @AartiTikoo: I am a Kashmiri Hindu by birth, a Punjabi Sikh by marriage and as such, culturally, a Kashmiri-Punjabi &amp";" a Hindu-Sikh. If I…"",2020-12-04 11:22:55,,,,";;;;;;;
"2020-12-04  12:23,1334820474593931264,""RT @martialdeyforyo: """"No matter how far we stray from our roots, the culture runs deep.""""";;;;;;;;
;;;;;;;;
"Best THREAD you'll see today... https://t.co/7JwF…"",2020-12-04 11:22:55,,,,""Nairobi, Kenya""";;;;;;;;
"2020-12-04  12:23,1334820472505176065,""RT @MesutOzil1088: Nowadays there are still many discussions in public about if Islam is a part of the German, French or European society.…"",2020-12-04 11:22:55,,,,hogwarts ";;;;;;;;
"2020-12-04  12:23,1334820471838187521,""Racist, disrespected my culture, so I don't like her. And most importantly i don't really care about her. Sometimes… https://t.co/2ToluSWO5I"",2020-12-04 11:22:54,,,,Louis' collarbones";;;;;;;;
"2020-12-04  12:23,1334820468071657481,""RT @myoxiinc: WE VALUE :";;;;;;;;
#NOM?;;;;;;;;
#NOM?;;;;;;;;
#NOM?;;;;;;;;
#NOM?;;;;;;;;
"- Creativity to change World…"",2020-12-04 11:22:54,,,,";;;;;;;;
2020-12-04  12:23,1334820467425808387,RT @Piemations: finally a lad of culture,2020-12-04 11:22:53,,,,They/them;;;;;;;;
"2020-12-04  12:23,1334820463017684994,@odeyemi_yemi E say na african culture 😁,2020-12-04 11:22:52,,,,""Lagos, Nigeria. """;;;;;;;;
"2020-12-04  12:23,1334820459913891840,RT @shame_medicine: JOB - PhD studentship in Art History and Visual Culture as part of the @shame_medicine project - to research how medici…,2020-12-04 11:22:52,,,,""Exeter, England""";;;;;;;;
"2020-12-04  12:23,1334820456977682434,""RT @UniMelbPoche: 'Too many kids are growing up disconnected from their Mob, Country and culture'";;;;;;;;
;;;;;;;;
Great work @SueAnneHunter2;;;;;;;;
;;;;;;;;
"https://t.co…"",2020-12-04 11:22:51,,,,Wurundjeri land. ";;;;;;;;
"2020-12-04  12:23,1334820452112297984,Your Religious supremacism is Nationalistic.Regions taking pride in their culture is Anti-National. Your call for H… https://t.co/hPnUKjMZ2Z,2020-12-04 11:22:50,,,,""Jalandhar, India""";;;;;;;;
"2020-12-04  12:23,1334820451001004033,""RT @RaySangxoxo: Been encouraged to plug myself...the girl you need for all things music and pop culture ";;;;;;;;
;;;;;;;;
IG: https://t.co/u7I22GGLrS;;;;;;;;
;;;;;;;;
"#In…"",2020-12-04 11:22:49,,,,My Mind";;;;;;;;
2020-12-04  12:23,1334820450061389824,RT @LadyTruth20: @AlphaGoII1 Who hates Catholicism &amp; Christianity so much to want to burn several churches now in our beautiful Britsh coun…,2020-12-04 11:22:49,,,,;;;;;;;
"2020-12-04  12:23,1334820440708182021,""RT @RealCandaceO: Any one of woke liberals care to explain to me how @noahcyrus calling me a “nappy ass hoe” is not racist? ";;;;;;;;
"I’m all ears.…"",2020-12-04 11:22:47,,,,GLOBAL";;;;;;;;
"2020-12-04  12:23,1334820439143669767,""@_xxHonesty #SupportBlackBusiness while looking fresh in a STRICTLY FOR THE CULTURE pullover hoodie.";;;;;;;;
;;;;;;;;
"Available in… https://t.co/o3aPCgczZf"",2020-12-04 11:22:47,,,,";;;;;;;;
